atc_code;atc_name;ddd;uom;adm_r;note;TRAD
B01AB09;danaparoid;1.5;TU;P;anti Xa;DANAPAROIDE
B01AB10;tinzaparin;3.5;TU;P;anti Xa;TINZAPARINA
B01AB11;sulodexide;500;LSU;O;LSU = lipoprotein lipase releasing units;SULODEXIDE
B01AB11;sulodexide;500;LSU;P;LSU = lipoprotein lipase releasing units;SULODEXIDE
B01AB12;bemiparin;2.5;TU;P;NA;BEMIPARINA
B01AB51;heparin, combinations;NA;NA;NA;NA;HEPARINA, COMBINACIONES
B01AC;Platelet aggregation inhibitors excl. heparin;NA;NA;NA;NA;INHIBIDORES DE LA AGREGACIÓN PLAQUETARIA, EXC. HEPARINA
B01AC01;ditazole;NA;NA;NA;NA;DITAZOL
B01AC02;cloricromen;NA;NA;NA;NA;CLORICROMEN
B01AC03;picotamide;NA;NA;NA;NA;PICOTAMIDA
B01AC04;clopidogrel;75;mg;O;NA;CLOPIDOGREL
B01AC05;ticlopidine;0.5;g;O;NA;TICLOPIDINA
B01AC06;acetylsalicylic acid;1;tablet;O;Independent of strength;ÁCIDO ACETILSALICÍLICO
B01AC07;dipyridamole;0.4;g;O;NA;DIPIRIDAMOL
B01AC07;dipyridamole;0.2;g;P;NA;DIPIRIDAMOL
B01AC08;carbasalate calcium;1;tablet;O;NA;CARBASALATO CÁLCICO
B01AC09;epoprostenol;NA;NA;NA;NA;EPOPROSTENOL
B01AC10;indobufen;NA;NA;NA;NA;INDOBUFENO
B01AC11;iloprost;0.15;mg;Inhal.solution;NA;ILOPROST
B01AC11;iloprost;50;mcg;P;NA;ILOPROST
B01AC13;abciximab;25;mg;P;NA;ABCIXIMAB
B01AC15;aloxiprin;NA;NA;NA;NA;ALOXIPRIN
B01AC16;eptifibatide;0.2;g;P;NA;EPTIFIBATIDE
B01AC17;tirofiban;10;mg;P;NA;TIROFIBAN
B01AC18;triflusal;0.6;g;O;NA;TRIFLUSAL
B01AC19;beraprost;NA;NA;NA;NA;BERAPROST
B01AC21;treprostinil;4.3;mg;P;NA;TREPROSTINIL
B01AC22;prasugrel;10;mg;O;NA;PRASUGREL
B01AC23;cilostazol;0.2;g;O;NA;CILOSTAZOL
B01AC24;ticagrelor;0.18;g;O;NA;TICAGRELOR
B01AC25;cangrelor;50;mg;P;NA;CANGRELOR
B01AC26;vorapaxar;2.08;mg;O;NA;VORAPAXAR
B01AC27;selexipag;1.8;mg;O;NA;SELEXIPAG
B01AC28;limaprost;NA;NA;NA;NA;LIMAPROST
B01AC30;combinations;NA;NA;NA;NA;COMBINACIONES
B01AC56;acetylsalicylic acid, combinations with proton pump inhibitors;NA;NA;NA;NA;ÁCIDO ACETILSALICÍLICO, COMBINACIONES CON INHIBIDORES DE LA BOMBA DE PROTONES
B01AD;Enzymes;NA;NA;NA;NA;ENZIMAS
B01AD01;streptokinase;1.5;MU;P;NA;ESTREPTOQUINASA
B01AD02;alteplase;0.1;g;P;NA;ALTEPLASA
B01AD03;anistreplase;30;U;P;NA;ANISTREPLASE
B01AD04;urokinase;3;MU;P;NA;UROKINASE
B01AD05;fibrinolysin;NA;NA;NA;NA;FIBRINOLISINA
B01AD06;brinase;NA;NA;NA;NA;SALINASA
B01AD07;reteplase;20;U;P;NA;RETEPLASA
B01AD08;saruplase;NA;NA;NA;NA;SARUPLASA
B01AD09;ancrod;NA;NA;NA;NA;ANCROD
B01AD10;drotrecogin alfa (activated);40;mg;P;NA;DROTRECOGIN ALFA (ACTIVADO)
B01AD11;tenecteplase;40;mg;P;NA;TENECTEPLASA
B01AD12;protein C;NA;NA;NA;NA;PROTEÍNA C
B01AD13;apadamtase alfa and cinaxadamtase alfa;NA;NA;NA;NA;APADAMTASA ALFA Y CINAXADAMTASA ALFA
B01AE;Direct thrombin inhibitors;NA;NA;NA;NA;INHIBIDORES DIRECTOS DE LA TROMBINA
B01AE01;desirudin;30;mg;P;NA;DESIRUDIN
B01AE02;lepirudin;0.25;g;P;NA;LEPIRUDINA
B01AE03;argatroban;0.2;g;P;NA;ARGATROBAN
B01AE04;melagatran;6;mg;P;NA;MELAGATRAN
B01AE05;ximelagatran;48;mg;O;NA;XIMELAGATRAN
B01AE06;bivalirudin;0.25;g;P;NA;BIVALIRUDIN
B01AE07;dabigatran etexilate;0.3;g;O;NA;DABIGATRÁN ETEXILATO
B01AF;Direct factor Xa inhibitors;NA;NA;NA;NA;INHIBIDORES DIRECTOS DEL FACTOR XA
B01AF01;rivaroxaban;20;mg;O;NA;RIVAROXABÁN
B01AF02;apixaban;10;mg;O;NA;APIXABÁN
B01AF03;edoxaban;60;mg;O;NA;EDOXABÁN
B01AF04;betrixaban;NA;NA;NA;NA;BETRIXABAN
B01AF51;rivaroxaban and acetylsalicylic acid;NA;NA;NA;NA;RIVAROXABÁN Y ÁCIDO ACETILSALICÍLICO
B01AX;Other antithrombotic agents;NA;NA;NA;NA;OTROS AGENTES ANTITROMBÓTICOS
B01AX01;defibrotide;1.75;g;P;NA;DEFIBROTIDA
B01AX04;dermatan sulfate;NA;NA;NA;NA;SULFATO DE DERMATÁN
B01AX05;fondaparinux;2.5;mg;P;NA;FONDAPARINUX
B01AX07;caplacizumab;10;mg;P;NA;CAPLACIZUMAB
B02;ANTIHEMORRHAGICS;NA;NA;NA;NA;ANTIHEMORRÁGICOS
B02A;ANTIFIBRINOLYTICS;NA;NA;NA;NA;ANTIFIBRINOLÍTICOS
B02AA;Amino acids;NA;NA;NA;NA;AMINOÁCIDOS
B02AA01;aminocaproic acid;16;g;O;NA;ÁCIDO AMINOCAPROICO
B02AA01;aminocaproic acid;16;g;P;NA;ÁCIDO AMINOCAPROICO
B02AA02;tranexamic acid;2;g;O;NA;ÁCIDO TRANEXÁMICO
B02AA02;tranexamic acid;2;g;P;NA;ÁCIDO TRANEXÁMICO
B02AA03;aminomethylbenzoic acid;0.25;g;O;NA;ÁCIDO AMINOMETILBENZOICO
B02AB;Proteinase inhibitors;NA;NA;NA;NA;INHIBIDORES DE LA PROTEINASA
B02AB01;aprotinin;500;TU;P;NA;APROTININA
B02AB02;alfa1 antitrypsin;0.6;g;P;NA;ALFA1 ANTITRIPSINA
B02AB04;camostat;NA;NA;NA;NA;CAMOSTAT
B02AB05;ulinastatin;NA;NA;NA;NA;ULINASTATINA
B02B;VITAMIN K AND OTHER HEMOSTATICS;NA;NA;NA;NA;VITAMINA K Y OTROS HEMOSTÁTICOS
B02BA;Vitamin K;NA;NA;NA;NA;VITAMINA K
B02BA01;phytomenadione;20;mg;O;NA;FITOMENADIONA
B02BA01;phytomenadione;20;mg;P;NA;FITOMENADIONA
B02BA02;menadione;10;mg;O;NA;MENADIONA
B02BA02;menadione;2;mg;P;NA;MENADIONA
B02BB;Fibrinogen;NA;NA;NA;NA;FIBRINÓGENO
B02BB01;fibrinogen, human;5;g;P;NA;FIBRINÓGENO HUMANO
B02BC;Local hemostatics;NA;NA;NA;NA;HEMOSTÁTICOS LOCALES
B02BC01;absorbable gelatin sponge;NA;NA;NA;NA;ESPONJA DE GELATINA ABSORBIBLE
B02BC02;oxidized cellulose;NA;NA;NA;NA;CELULOSA OXIDADA
B02BC03;tetragalacturonic acid hydroxymethylester;NA;NA;NA;NA;ÁCIDO TETRAGALACTURÓNICO HIDROXIMETILÉSTER
B02BC05;adrenalone;NA;NA;NA;NA;ADRENALONA
B02BC06;thrombin;NA;NA;NA;NA;TROMBINA
B02BC07;collagen;NA;NA;NA;NA;COLÁGENO
B02BC08;calcium alginate;NA;NA;NA;NA;ALGINATO DE CALCIO
B02BC09;epinephrine;NA;NA;NA;NA;EPINEFRINA
B02BC30;combinations;NA;NA;NA;NA;COMBINACIONES
B02BD;Blood coagulation factors;NA;NA;NA;NA;FACTORES DE COAGULACIÓN SANGUÍNEA
B02BD01;coagulation factor IX, II, VII and X in combination;NA;NA;NA;NA;FACTOR DE COAGULACIÓN IX, II, VII Y X EN COMBINACIÓN
B02BD02;coagulation factor VIII;NA;NA;NA;NA;FACTOR VIII DE COAGULACIÓN
B02BD03;factor VIII inhibitor bypassing activity;NA;NA;NA;NA;ACTIVIDAD DE DERIVACIÓN DEL INHIBIDOR DEL FACTOR VIII
B02BD04;coagulation factor IX;NA;NA;NA;NA;FACTOR IX DE COAGULACIÓN
B02BD05;coagulation factor VII;NA;NA;NA;NA;FACTOR DE COAGULACIÓN VII
B02BD06;von Willebrand factor and coagulation factor VIII in combination;NA;NA;NA;NA;FACTOR DE VON WILLEBRAND Y FACTOR VIII DE COAGULACIÓN EN COMBINACIÓN
B02BD07;coagulation factor XIII;NA;NA;NA;NA;FACTOR DE COAGULACIÓN XIII
B02BD08;coagulation factor VIIa;NA;NA;NA;NA;FACTOR DE COAGULACIÓN VIIA
B02BD10;von Willebrand factor;NA;NA;NA;NA;FACTOR VON WILLEBRAND
B02BD11;catridecacog;NA;NA;NA;NA;CATRIDECACOG
B02BD13;coagulation factor X;NA;NA;NA;NA;FACTOR DE COAGULACIÓN X
B02BD14;susoctocog alfa;NA;NA;NA;NA;SUSOCTOCOG ALFA
B02BD15;valoctocogene roxaparvovec;NA;NA;NA;NA;VALOCTOCOGÉN ROXAPARVOVEC
B02BD16;etranacogene dezaparvovec;NA;NA;NA;NA;ETRANACOGENE DEZAPARVOVEC
B02BD30;thrombin;NA;NA;NA;NA;TROMBINA
B02BX;Other systemic hemostatics;NA;NA;NA;NA;OTROS HEMOSTÁTICOS SISTÉMICOS
B02BX01;etamsylate;NA;NA;NA;NA;ETAMSILATO
B02BX02;carbazochrome;NA;NA;NA;NA;CARBAZOCROMO
B02BX03;batroxobin;NA;NA;NA;NA;BATROXOBIN
B02BX04;romiplostim;30;mcg;P;NA;ROMIPLOSTIM
B02BX05;eltrombopag;50;mg;O;NA;ELTROMBOPAG
B02BX06;emicizumab;15;mg;P;NA;EMICIZUMAB
B02BX07;lusutrombopag;NA;NA;NA;NA;LUSUTROMBOPAG
B02BX08;avatrombopag;20;mg;O;NA;AVATROMBOPAG
B02BX09;fostamatinib;0.2;g;O;NA;FOSTAMATINIB
B02BX10;concizumab;NA;NA;NA;NA;CONCIZUMAB
B03;ANTIANEMIC PREPARATIONS;NA;NA;NA;NA;PREPARACIONES ANTIANÉMICAS
B03A;IRON PREPARATIONS;NA;NA;NA;NA;PREPARACIONES DE HIERRO
B03AA;Iron bivalent, oral preparations;NA;NA;NA;NA;HIERRO BIVALENTE, PREPARACIONES ORALES
B03AA01;ferrous glycine sulfate;0.2;g;O;Fe2+;SULFATO DE GLICINA FERROSA
B03AA02;ferrous fumarate;0.2;g;O;Fe2+;FUMARATO FERROSO
B03AA03;ferrous gluconate;0.2;g;O;Fe2+;GLUCONATO FERROSO
B03AA04;ferrous carbonate;0.2;g;O;Fe2+;CARBONATO FERROSO
B03AA05;ferrous chloride;0.2;g;O;Fe2+;CLORURO FERROSO
B03AA06;ferrous succinate;0.2;g;O;Fe2+;SUCCINATO FERROSO
B03AA07;ferrous sulfate;0.2;g;O;Fe2+;SULFATO FERROSO
B03AA08;ferrous tartrate;0.2;g;O;Fe2+;TARTRATO FERROSO
B03AA09;ferrous aspartate;0.2;g;O;Fe2+;ASPARTATO FERROSO
B03AA10;ferrous ascorbate;0.2;g;O;Fe2+;ASCORBATO FERROSO
B03AA11;ferrous iodine;0.2;g;O;Fe2+;YODO FERROSO
B03AA12;ferrous sodium citrate;NA;NA;NA;NA;CITRATO DE SODIO FERROSO
B03AB;Iron trivalent, oral preparations;NA;NA;NA;NA;TRIVALANTE DE HIERRO, PREPARACIONES ORALES
B03AB01;ferric sodium citrate;0.75;g;O;Fe3+;CITRATO DE SODIO FÉRRICO
B03AB02;saccharated iron oxide;0.11;g;O;Fe3+;ÓXIDO DE HIERRO SACARADO
B03AB03;sodium feredetate;0.17;g;O;Fe3+;FEREDETATO DE SODIO
B03AB04;ferric hydroxide;NA;NA;NA;NA;HIDRÓXIDO FÉRRICO
B03AB05;ferric oxide polymaltose complexes;90;mg;O;Fe3+;ÓXIDO FÉRRICO COMPLEJOS DE POLIMALTOSA
B03AB07;chondroitin sulfate-iron complex;NA;NA;NA;NA;COMPLEJO DE SULFATO DE CONDROITINA Y HIERRO
B03AB08;ferric acetyl transferrin;NA;NA;NA;NA;ACETILTRANSFERRINA FÉRRICA
B03AB09;ferric proteinsuccinylate;80;mg;O;Fe3+;PROTEÍNAS FÉRRICASUCINILATO
B03AB10;ferric maltol;60;mg;O;Fe3+;MALTOL FÉRRICO
B03AC;Iron, parenteral preparations;NA;NA;NA;NA;HIERRO, PREPARACIONES PARENTERALES
B03AC;Iron, parenteral preparations;0.1;g;P;Fe;HIERRO, PREPARACIONES PARENTERALES
B03AD;Iron in combination with folic acid;NA;NA;NA;NA;HIERRO EN COMBINACIÓN CON ÁCIDO FÓLICO
B03AD01;ferrous amino acid complex and folic acid;NA;NA;NA;NA;COMPLEJO DE AMINOÁCIDOS FERROSOS Y ÁCIDO FÓLICO
B03AD02;ferrous fumarate and folic acid;NA;NA;NA;NA;FUMARATO FERROSO Y ÁCIDO FÓLICO
B03AD03;ferrous sulfate and folic acid;NA;NA;NA;NA;SULFATO FERROSO Y ÁCIDO FÓLICO
B03AD04;ferric oxide polymaltose complexes and folic acid;NA;NA;NA;NA;ÓXIDO FÉRRICO, COMPLEJOS DE POLIMALTOSA Y ÁCIDO FÓLICO
B03AD05;ferrous gluconate and folic acid;NA;NA;NA;NA;GLUCONATO FERROSO Y ÁCIDO FÓLICO
B03AE;Iron in other combinations;NA;NA;NA;NA;HIERRO EN OTRAS COMBINACIONES
B03AE01;iron, vitamin B12 and folic acid;NA;NA;NA;NA;HIERRO, VITAMINA B12 Y ÁCIDO FÓLICO
B03AE02;iron, multivitamins and folic acid;NA;NA;NA;NA;HIERRO, MULTIVITAMÍNICOS Y ÁCIDO FÓLICO
B03AE03;iron and multivitamins;NA;NA;NA;NA;HIERRO Y MULTIVITAMÍNICOS
B03AE04;iron, multivitamins and minerals;NA;NA;NA;NA;HIERRO, MULTIVITAMÍNICOS Y MINERALES
B03AE10;various combinations;NA;NA;NA;NA;VARIAS COMBINACIONES
B03B;VITAMIN B12 AND FOLIC ACID;NA;NA;NA;NA;VITAMINA B12 Y ÁCIDO FÓLICO
B03BA;Vitamin B12 (cyanocobalamin and analogues);NA;NA;NA;NA;VITAMINA B12 (CIANOCOBALAMINA Y ANÁLOGOS)
B03BA01;cyanocobalamin;70;mcg;N;NA;CIANOCOBALAMINA
B03BA01;cyanocobalamin;1;mg;O;NA;CIANOCOBALAMINA
B03BA01;cyanocobalamin;20;mcg;P;NA;CIANOCOBALAMINA
B03BA02;cyanocobalamin tannin complex;20;mcg;P;NA;COMPLEJO DE TANINOS DE CIANOCOBALAMINA
B03BA03;hydroxocobalamin;20;mcg;P;NA;HIDROXOCOBALAMINA
B03BA04;cobamamide;NA;NA;NA;NA;COBAMAMIDA
B03BA05;mecobalamin;1.5;mg;O;NA;MECOBALAMINA
B03BA05;mecobalamin;0.2;mg;P;NA;MECOBALAMINA
B03BA51;cyanocobalamin, combinations;NA;NA;NA;NA;CIANOCOBALAMINA, COMBINACIONES
B03BA53;hydroxocobalamin, combinations;NA;NA;NA;NA;HIDROXOCOBALAMINA, COMBINACIONES
B03BB;Folic acid and derivatives;NA;NA;NA;NA;ÁCIDO FÓLICO Y DERIVADOS
B03BB01;folic acid;0.4;mg;O;prophylactic dose;ÁCIDO FÓLICO
B03BB01;folic acid;10;mg;P;therapeutic dose;ÁCIDO FÓLICO
B03BB51;folic acid, combinations;NA;NA;NA;NA;ÁCIDO FÓLICO, COMBINACIONES
B03X;OTHER ANTIANEMIC PREPARATIONS;NA;NA;NA;NA;OTROS PREPARADOS ANTIANÉMICOS
B03XA;Other antianemic preparations;NA;NA;NA;NA;OTRAS PREPARACIONES ANTIANÉMICAS
B03XA01;erythropoietin;1;TU;P;NA;ERITROPOYETINA
B03XA02;darbepoetin alfa;4.5;mcg;P;NA;DARBEPOETIN ALFA
B03XA03;methoxy polyethylene glycol-epoetin beta;4;mcg;P;NA;METOXIPOLIETILENGLICOL-EPOETINA BETA
B03XA04;peginesatide;NA;NA;NA;NA;PEGINESATIDA
B03XA05;roxadustat;43;mg;O;NA;ROXADUSTAT
B03XA06;luspatercept;3.33;mg;P;NA;LUSPATERCEPT
B03XA07;daprodustat;NA;NA;NA;NA;DAPRODUSTAT
B03XA08;vadadustat;NA;NA;NA;NA;VADADUSTAT
B05;BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;NA;NA;NA;NA;SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN
B05A;BLOOD AND RELATED PRODUCTS;NA;NA;NA;NA;SANGRE Y PRODUCTOS RELACIONADOS
B05AA;Blood substitutes and plasma protein fractions;NA;NA;NA;NA;SUSTITUTOS SANGUÍNEOS Y FRACCIONES DE PROTEÍNAS PLASMÁTICAS
B05AA01;albumin;NA;NA;NA;NA;ALBÚMINA
B05AA02;other plasma protein fractions;NA;NA;NA;NA;OTRAS FRACCIONES DE PROTEÍNAS PLASMÁTICAS
B05AA03;fluorocarbon blood substitutes;NA;NA;NA;NA;SUSTITUTOS DE LA SANGRE CON FLUOROCARBONO
B05AA05;dextran;NA;NA;NA;NA;DEXTRANO
B05AA06;gelatin agents;NA;NA;NA;NA;AGENTES DE GELATINA
B05AA07;hydroxyethylstarch;NA;NA;NA;NA;HIDROXIETILALMIDÓN
B05AA08;hemoglobin crosfumaril;NA;NA;NA;NA;HEMOGLOBINA CROSFUMARIL
B05AA09;hemoglobin raffimer;NA;NA;NA;NA;HEMOGLOBINA RAFFIMER
B05AA10;hemoglobin glutamer (bovine);NA;NA;NA;NA;HEMOGLOBINA GLUTÓMERA (BOVINA)
B05AX;Other blood products;NA;NA;NA;NA;OTROS PRODUCTOS SANGUÍNEOS
B05AX01;erythrocytes;NA;NA;NA;NA;ERITROCITOS
B05AX02;thrombocytes;NA;NA;NA;NA;TROMBOCITOS
B05AX03;blood plasma;NA;NA;NA;NA;PLASMA SANGUÍNEO
B05AX04;stem cells from umbilical cord blood;NA;NA;NA;NA;CÉLULAS MADRE DE LA SANGRE DEL CORDÓN UMBILICAL
B05B;I.V. SOLUTIONS;NA;NA;NA;NA;SOLUCIONES I.V.
B05BA;Solutions for parenteral nutrition;NA;NA;NA;NA;SOLUCIONES PARA LA NUTRICIÓN PARENTERAL
B05BA01;amino acids;NA;NA;NA;NA;AMINOÁCIDOS
B05BA02;fat emulsions;NA;NA;NA;NA;EMULSIONES GRASAS
B05BA03;carbohydrates;NA;NA;NA;NA;CARBOHIDRATOS
B05BA04;protein hydrolysates;NA;NA;NA;NA;HIDROLIZADOS DE PROTEÍNAS
B05BA10;combinations;NA;NA;NA;NA;COMBINACIONES
B05BB;Solutions affecting the electrolyte balance;NA;NA;NA;NA;SOLUCIONES QUE AFECTAN AL EQUILIBRIO ELECTROLÍTICO
B05BB01;electrolytes;NA;NA;NA;NA;ELECTRÓLITOS
B05BB02;electrolytes with carbohydrates;NA;NA;NA;NA;ELECTROLITOS CON HIDRATOS DE CARBONO
B05BB03;trometamol;NA;NA;NA;NA;TROMETAMOL
B05BB04;electrolytes in combination with other drugs;NA;NA;NA;NA;ELECTROLITOS EN COMBINACIÓN CON OTROS FÁRMACOS
B05BC;Solutions producing osmotic diuresis;NA;NA;NA;NA;SOLUCIONES QUE PRODUCEN DIURESIS OSMÓTICA
B05BC01;mannitol;NA;NA;NA;NA;MANITOL
B05BC02;carbamide;NA;NA;NA;NA;CARBAMIDA
B05C;IRRIGATING SOLUTIONS;NA;NA;NA;NA;SOLUCIONES DE RIEGO
B05CA;Antiinfectives;NA;NA;NA;NA;ANTIINFECCIOSOS
B05CA01;cetylpyridinium;NA;NA;NA;NA;CETILPIRIDINIO
B05CA02;chlorhexidine;NA;NA;NA;NA;CLORHEXIDINA
B05CA03;nitrofural;NA;NA;NA;NA;NITROFURAL
B05CA04;sulfamethizole;NA;NA;NA;NA;SULFAMETHIZOL
B05CA05;taurolidine;NA;NA;NA;NA;TAUROLIDINA
B05CA06;mandelic acid;NA;NA;NA;NA;ÁCIDO MANDÉLICO
B05CA07;noxytiolin;NA;NA;NA;NA;NOXITIOLINA
B05CA08;ethacridine lactate;NA;NA;NA;NA;LACTATO DE ETACRIDINA
B05CA09;neomycin;NA;NA;NA;NA;NEOMICINA
B05CA10;combinations;NA;NA;NA;NA;COMBINACIONES
B05CB;Salt solutions;NA;NA;NA;NA;SOLUCIONES SALINAS
B05CB01;sodium chloride;NA;NA;NA;NA;CLORURO DE SODIO
B05CB02;sodium citrate;NA;NA;NA;NA;CITRATO DE SODIO
B05CB03;magnesium citrate;NA;NA;NA;NA;CITRATO DE MAGNESIO
B05CB04;sodium bicarbonate;NA;NA;NA;NA;BICARBONATO DE SODIO
B05CB10;combinations;NA;NA;NA;NA;COMBINACIONES
B05CX;Other irrigating solutions;NA;NA;NA;NA;OTRAS SOLUCIONES DE RIEGO
B05CX01;glucose;NA;NA;NA;NA;GLUCOSA
B05CX02;sorbitol;NA;NA;NA;NA;SORBITOL
B05CX03;glycine;NA;NA;NA;NA;GLICINA
B05CX04;mannitol;NA;NA;NA;NA;MANITOL
B05CX10;combinations;NA;NA;NA;NA;COMBINACIONES
B05D;PERITONEAL DIALYTICS;NA;NA;NA;NA;DIALÍTICOS PERITONEALES
B05DA;Isotonic solutions;NA;NA;NA;NA;SOLUCIONES ISOTÓNICAS
B05DB;Hypertonic solutions;NA;NA;NA;NA;SOLUCIONES HIPERTÓNICAS
B05X;I.V. SOLUTION ADDITIVES;NA;NA;NA;NA;ADITIVOS EN SOLUCIÓN I.V.
B05XA;Electrolyte solutions;NA;NA;NA;NA;SOLUCIONES ELECTROLÍTICAS
B05XA01;potassium chloride;NA;NA;NA;NA;CLORURO DE POTASIO
B05XA02;sodium bicarbonate;NA;NA;NA;NA;BICARBONATO DE SODIO
B05XA03;sodium chloride;NA;NA;NA;NA;CLORURO DE SODIO
B05XA04;ammonium chloride;NA;NA;NA;NA;CLORURO DE AMONIO
B05XA05;magnesium sulfate;NA;NA;NA;NA;SULFATO DE MAGNESIO
B05XA06;potassium phosphate, incl. combinations with other potassium salts;NA;NA;NA;NA;FOSFATO DE POTASIO, INCL. COMBINACIONES CON OTRAS SALES DE POTASIO
B05XA07;calcium chloride;NA;NA;NA;NA;CLORURO DE CALCIO
B05XA08;sodium acetate;NA;NA;NA;NA;ACETATO DE SODIO
B05XA09;sodium phosphate;NA;NA;NA;NA;FOSFATO DE SODIO
B05XA10;magnesium phosphate;NA;NA;NA;NA;FOSFATO DE MAGNESIO
B05XA11;magnesium chloride;NA;NA;NA;NA;CLORURO DE MAGNESIO
B05XA12;zinc chloride;NA;NA;NA;NA;CLORURO DE ZINC
B05XA13;hydrochloric acid;NA;NA;NA;NA;ÁCIDO CLORHÍDRICO
B05XA14;sodium glycerophosphate;NA;NA;NA;NA;GLICEROFOSFATO DE SODIO
B05XA15;potassium lactate;NA;NA;NA;NA;LACTATO DE POTASIO
B05XA16;cardioplegia solutions;NA;NA;NA;NA;SOLUCIONES PARA LA CARDIOPLEJIA
B05XA17;potassium acetate;NA;NA;NA;NA;ACETATO DE POTASIO
B05XA18;zinc sulfate;NA;NA;NA;NA;SULFATO DE ZINC
B05XA19;calcium gluconate;NA;NA;NA;NA;GLUCONATO DE CALCIO
B05XA20;sodium selenite;NA;NA;NA;NA;SELENITO DE SODIO
B05XA30;combinations of electrolytes;NA;NA;NA;NA;COMBINACIONES DE ELECTROLITOS
B05XA31;electrolytes in combination with other drugs;NA;NA;NA;NA;ELECTROLITOS EN COMBINACIÓN CON OTROS FÁRMACOS
B05XB;Amino acids;NA;NA;NA;NA;AMINOÁCIDOS
B05XB01;arginine hydrochloride;NA;NA;NA;NA;CLORHIDRATO DE ARGININA
B05XB02;alanyl glutamine;NA;NA;NA;NA;ALANIL GLUTAMINA
B05XB03;lysine;NA;NA;NA;NA;LISINA
B05XC;Vitamins;NA;NA;NA;NA;VITAMINAS
B05XX;Other i.v. solution additives;NA;NA;NA;NA;OTROS ADITIVOS PARA SOLUCIONES I.V.
B05XX02;trometamol;NA;NA;NA;NA;TROMETAMOL
B05Z;HEMODIALYTICS AND HEMOFILTRATES;NA;NA;NA;NA;HEMODIALIZANTES Y HEMOFILTRADOS
B05ZA;Hemodialytics, concentrates;NA;NA;NA;NA;HEMODIALÍTICOS, CONCENTRADOS
B05ZB;Hemofiltrates;NA;NA;NA;NA;HEMOFILTRADOS
B06;OTHER HEMATOLOGICAL AGENTS;NA;NA;NA;NA;OTROS AGENTES HEMATOLÓGICOS
B06A;OTHER HEMATOLOGICAL AGENTS;NA;NA;NA;NA;OTROS AGENTES HEMATOLÓGICOS
B06AA;Enzymes;NA;NA;NA;NA;ENZIMAS
B06AA02;fibrinolysin and desoxyribonuclease;NA;NA;NA;NA;FIBRINOLISINA Y DESOXIRRIBONUCLEASA
B06AA03;hyaluronidase;NA;NA;NA;NA;HIALURONIDASA
B06AA04;chymotrypsin;NA;NA;NA;NA;QUIMOTRIPSINA
B06AA07;trypsin;NA;NA;NA;NA;TRIPSINA
B06AA10;desoxyribonuclease;NA;NA;NA;NA;DESOXIRRIBONUCLEASA
B06AA55;streptokinase, combinations;NA;NA;NA;NA;ESTREPTOQUINASA, COMBINACIONES
B06AB;Heme products;NA;NA;NA;NA;PRODUCTOS HEMO
B06AB01;hemin;NA;NA;NA;NA;HEMINA
B06AC;Drugs used in hereditary angioedema;NA;NA;NA;NA;FÁRMACOS UTILIZADOS EN EL ANGIOEDEMA HEREDITARIO
B06AC01;c1-inhibitor, plasma derived;1.4;TU;P;NA;INHIBIDOR DE C1, DERIVADO DEL PLASMA
B06AC02;icatibant;30;mg;P;NA;ICATIBANT
B06AC03;ecallantide;NA;NA;NA;NA;ECALLANTIDE
B06AC04;conestat alfa;3.5;TU;P;NA;CONESTAT ALFA
B06AC05;lanadelumab;21.4;mg;P;NA;LANADELUMAB
B06AC06;berotralstat;0.15;g;O;NA;BEROTRALSTAT
B06AX;Other hematological agents;NA;NA;NA;NA;OTROS AGENTES HEMATOLÓGICOS
B06AX01;crizanlizumab;12.5;mg;P;NA;CRIZANLIZUMAB
B06AX02;betibeglogene autotemcel;NA;NA;NA;NA;BETIBEGLOGENE AUTOTEMCEL
B06AX03;voxelotor;NA;NA;NA;NA;VOXELOTOR
B06AX04;mitapivat;0.1;g;O;NA;MITAPIVAT
B06AX05;exagamglogene autotemcel;NA;NA;NA;NA;EXAGAMGLOGENE AUTOTEMCEL
C;CARDIOVASCULAR SYSTEM;NA;NA;NA;NA;SISTEMA CARDIOVASCULAR
C01;CARDIAC THERAPY;NA;NA;NA;NA;TERAPIA CARDÍACA
C01A;CARDIAC GLYCOSIDES;NA;NA;NA;NA;GLCÓSIDOS CARDÍACOS
C01AA;Digitalis glycosides;NA;NA;NA;NA;GLUCÓSIDOS DIGITÁLICOS
C01AA01;acetyldigitoxin;0.2;mg;O;NA;ACETILDIGITOXINA
C01AA02;acetyldigoxin;0.5;mg;O;NA;ACETILDIGOXINA
C01AA03;digitalis leaves;0.1;g;O;NA;HOJAS DE DIGITALIS
C01AA04;digitoxin;0.1;mg;O;NA;DIGITOXINA
C01AA04;digitoxin;0.1;mg;P;NA;DIGITOXINA
C01AA05;digoxin;0.25;mg;O;NA;DIGOXINA
C01AA05;digoxin;0.25;mg;P;NA;DIGOXINA
C01AA06;lanatoside C;1;mg;O;NA;LANATOSIDO C
C01AA06;lanatoside C;1;mg;R;NA;LANATOSIDO C
C01AA07;deslanoside;1;mg;P;Acute treatment;DESLANOSIDE
C01AA08;metildigoxin;0.2;mg;O;NA;METILDIGOXINA
C01AA08;metildigoxin;0.2;mg;P;NA;METILDIGOXINA
